catalog_number|catalog_plate|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_eclipse|lunation_number|saros_number|delta_Ts|QLE|gamma|sun_altitude|sun_azimuth|duration_central|path_width|year_BC|upper|lower|my_50|intensity_category|page|gif
1|001|-1999|6|12|3|14|51|6.0|-33.3|T|1.0733|-49456|5|46438|-n|-0.2701|74|344|6.617|247|Jun 12, 2000 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1999-06-12.gif
2|001|-1999|12|5|11|45|23|-32.9|10.8|A|0.9382|-49450|10|46426|n-|-0.2317|76|21|6.733|236|Dec 05, 2000 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1999-12-05.gif
3|001|-1998|6|1|6|9|16|46.2|83.4|T|1.0284|-49444|15|46415|p-|0.4994|60|151|2.25|111|Jun 01, 1999 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1998-06-01.gif
4|001|-1998|11|25|5|57|3|-67.8|-143.8|A|0.9806|-49438|20|46403|p-|-0.9045|25|74|1.233|162|Nov 25, 1999 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1998-11-25.gif
5|001|-1997|4|22|1|19|56|-60.6|-106.4|P|0.1611|-49433|-13|46393|-t|-1.4670|0|281|||Apr 22, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-04-22.gif
6|001|-1997|5|22|2|45|35|61.7|-151.7|P|0.4035|-49432|25|46391|t-|1.3253|0|55|||May 22, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-05-22.gif
7|001|-1997|10|16|8|1|52|60.6|-22.7|P|0.6954|-49427|-8|46381|-t|1.1669|0|265|||Oct 16, 1998 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-10-16.gif
8|001|-1997|11|14|6|48|49|-61.5|-27.7|P|0.0377|-49426|30|46379|t-|-1.5183|0|120|||Nov 14, 1998 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1997-11-14.gif
9|001|-1996|4|10|1|54|52|-38.2|-167.2|A|0.9464|-49421|-3|46369|-p|-0.7231|43|321|5.183|277|Apr 10, 1997 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1996-04-10.gif
10|001|-1996|10|4|11|23|37|28.8|38.6|T|1.0257|-49415|2|46358|-p|0.5166|59|214|2.067|101|Oct 04, 1997 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1996-10-04.gif
11|001|-1995|3|30|5|24|52|-0.2|112.7|A|0.9873|-49409|7|46346|nn|0.0609|87|151|1.283|45|Mar 30, 1996 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1995-03-30.gif
12|001|-1995|9|24|10|31|54|-3.1|-150|A|0.9766|-49403|12|46334|nn|-0.1863|79|29|2.367|85|Sep 24, 1996 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1995-09-24.gif
13|001|-1994|3|20|3|59|50|39.4|-73.3|T|1.0333|-49397|17|46322|p-|0.8091|36|142|2.583|186|Mar 20, 1995 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1994-03-20.gif
14|001|-1994|9|13|2|32|0|-48.2|116.1|A|0.9249|-49391|22|46310|p-|-0.9265|22|42|6.95|733|Sep 13, 1995 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1994-09-13.gif
15|001|-1993|2|8|11|41|40|-62.7|-23.1|P|0.8826|-49386|-11|46301|-t|-1.0699|0|222|||Feb 08, 1994 BC|-1999|-1900|-2000|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1993-02-08.gif
16|001|-1993|3|9|7|48|9|61.2|11.4|Pb|0.0754|-49385|27|46299|t-|1.4907|0|114|||Mar 09, 1994 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1993-03-09.gif
17|001|-1993|8|3|9|35|6|63.5|-166.7|P|0.4292|-49380|-6|46289|-t|1.3116|0|327|||Aug 03, 1994 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1993-08-03.gif
18|001|-1992|1|29|2|34|14|-44.1|-13.3|T|1.0181|-49374|-1|46277|-p|-0.3875|67|340|1.5|67|Jan 29, 1993 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1992-01-29.gif
19|001|-1992|7|23|4|3|17|54.0|-39|H|1.0059|-49368|4|46265|-p|0.5182|59|197|0.483|24|Jul 23, 1993 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1992-07-23.gif
20|001|-1991|1|17|11|29|42|-3.5|-160.1|A|0.9599|-49362|9|46253|n-|0.3460|70|170|5.05|155|Jan 17, 1992 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1991-01-17.gif
21|002|-1991|7|12|5|34|12|10.0|106.3|T|1.0606|-49356|14|46242|n-|-0.2421|76|6|5.833|205|Jul 12, 1992 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1991-07-12.gif
22|002|-1990|1|6|1|10|1|65.4|163.3|P|0.8256|-49350|19|46230|t-|1.0749|0|167|||Jan 06, 1991 BC|-1999|-1900|-2000|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1990-01-06.gif
23|002|-1990|7|2|10|30|6|-51.2|-149.5|T|1.0609|-49344|24|46218|t-|-0.9623|15|2|4.5|756|Jul 02, 1991 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1990-07-02.gif
24|002|-1990|11|26|7|21|37|-69.3|-67.4|P|0.5316|-49339|-9|46208|-t|-1.2517|0|150|||Nov 26, 1991 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1990-11-26.gif
25|002|-1989|5|23|4|56|38|72.1|79.4|H|1.0067|-49333|-4|46196|-t|0.8616|30|139|0.45|46|May 23, 1990 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1989-05-23.gif
26|002|-1989|11|16|3|39|33|-44|-54.1|H|1.0036|-49327|1|46185|-n|-0.5096|59|19|0.3|14|Nov 16, 1990 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1989-11-16.gif
27|002|-1988|5|11|11|28|58|18.3|16.8|A|0.9652|-49321|6|46173|nn|0.0987|84|165|4.183|126|May 11, 1989 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1988-05-11.gif
28|002|-1988|11|4|5|46|47|-0.6|106.5|T|1.0435|-49315|11|46161|n-|0.1768|80|196|4.067|148|Nov 04, 1989 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1988-11-04.gif
29|002|-1987|5|1|12|29|51|-31.9|17.1|A|0.9464|-49309|16|46149|p-|-0.6733|47|341|6.167|264|May 01, 1988 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1987-05-01.gif
30|002|-1987|10|25|9|21|8|48.3|-107.1|T|1.0260|-49303|21|46138|p-|0.8460|32|207|1.967|165|Oct 25, 1988 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1987-10-25.gif
31|002|-1986|3|21|3|6|51|71.2|79.3|P|0.3949|-49298|-12|46128|-t|1.3284|0|111|||Mar 21, 1987 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1986-03-21.gif
32|002|-1986|4|20|2|55|9|-71.5|44.6|P|0.2645|-49297|26|46126|t-|-1.4035|0|285|||Apr 20, 1987 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1986-04-20.gif
33|002|-1986|9|15|7|15|14|-71|-155.5|P|0.4983|-49292|-7|46116|-t|-1.2711|0|58|||Sep 15, 1987 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1986-09-15.gif
34|002|-1985|3|11|3|26|36|20.3|-44.2|T|1.0490|-49286|-2|46104|-p|0.5312|58|163|4.483|191|Mar 11, 1986 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1985-03-11.gif
35|002|-1985|9|4|9|29|3|-21.9|-138.3|A|0.9272|-49280|3|46093|-p|-0.5977|53|15|9.367|338|Sep 04, 1986 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1985-09-04.gif
36|002|-1984|2|28|7|51|38|-25.5|81.9|T|1.0690|-49274|8|46081|n-|-0.1975|78|345|5.883|229|Feb 28, 1985 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1984-02-28.gif
37|002|-1984|8|23|9|9|6|24.0|-123.1|A|0.9402|-49268|13|46069|nn|0.1151|83|191|7.45|223|Aug 23, 1985 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1984-08-23.gif
38|002|-1983|2|17|11|43|36|-79.1|-89.1|T|1.0259|-49262|18|46057|p-|-0.9309|21|286|1.5|246|Feb 17, 1984 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1983-02-17.gif
39|002|-1983|8|12|1|43|7|75.4|-168.1|A|0.9820|-49256|23|46046|p-|0.8332|33|209|1.25|116|Aug 12, 1984 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1983-08-12.gif
40|002|-1982|1|8|7|26|45|65.6|-85.9|P|0.7132|-49251|-10|46036|-t|1.1451|0|191|||Jan 08, 1983 BC|-1999|-1900|-2000|0.7999 to 0.7000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1982-01-08.gif
41|003|-1982|7|3|5|34|50|-64.8|127.1|P|0.8933|-49245|-5|46024|-t|-1.0663|0|341|||Jul 03, 1983 BC|-1999|-1900|-2000|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1982-07-03.gif
42|003|-1982|8|2|1|40|26|67.5|157.3|Pb|0.0678|-49244|33|46022|t-|1.4996|0|351|||Aug 02, 1983 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1982-08-02.gif
43|003|-1982|12|28|7|38|6|4.2|-97.2|A|0.9191|-49239|0|46012|-p|0.4710|62|189|11.633|346|Dec 28, 1983 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1982-12-28.gif
44|003|-1981|6|23|10|42|6|3.3|-146.8|T|1.0693|-49233|5|46000|-n|-0.3407|70|348|6.467|240|Jun 23, 1982 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1981-06-23.gif
45|003|-1981|12|17|7|52|15|-35|-110.7|A|0.9420|-49227|10|45989|n-|-0.2249|77|16|6.35|220|Dec 17, 1982 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1981-12-17.gif
46|003|-1980|6|12|1|14|1|45.0|-19.9|T|1.0242|-49221|15|45977|p-|0.4248|65|157|2|91|Jun 12, 1981 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1980-06-12.gif
47|003|-1980|12|5|2|32|25|-72|82.1|A|0.9845|-49215|20|45965|p-|-0.9018|25|77|0.967|127|Dec 05, 1981 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1980-12-05.gif
48|003|-1979|5|2|7|42|2|-60.9|147.5|Pe|0.0110|-49210|-13|45955|-t|-1.5543|0|290|||May 02, 1980 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1979-05-02.gif
49|003|-1979|6|1|9|17|39|62.3|99.3|P|0.5442|-49209|25|45953|t-|1.2453|0|47|||Jun 01, 1980 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1979-06-01.gif
50|003|-1979|10|26|4|52|42|60.8|-165.9|P|0.6910|-49204|-8|45944|-t|1.1691|0|256|||Oct 26, 1980 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1979-10-26.gif
51|003|-1979|11|25|3|41|17|-62.1|-171.7|P|0.0392|-49203|30|45942|t-|-1.5170|0|130|||Nov 25, 1980 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1979-11-25.gif
52|003|-1978|4|21|8|18|29|-40.6|97.8|A|0.9476|-49198|-3|45932|-p|-0.8065|36|321|5|315|Apr 21, 1979 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1978-04-21.gif
53|003|-1978|10|16|8|2|30|24.8|-94|T|1.0214|-49192|2|45920|-p|0.5237|58|213|1.783|84|Oct 16, 1979 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1978-10-16.gif
54|003|-1977|4|11|12|17|50|0.4|8.5|A|0.9927|-49186|7|45908|nn|-0.0139|89|330|0.733|26|Apr 11, 1978 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1977-04-11.gif
55|003|-1977|10|5|6|43|53|-6.9|84.7|A|0.9713|-49180|12|45897|nn|-0.1747|80|30|2.883|104|Oct 05, 1978 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1977-10-05.gif
56|003|-1976|3|30|11|26|6|37.9|174.7|T|1.0404|-49174|17|45885|p-|0.7436|42|142|3.083|197|Mar 30, 1977 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1976-03-30.gif
57|003|-1976|9|23|10|12|57|-48.2|-2.8|A|0.9215|-49168|22|45873|p-|-0.9053|25|46|7.167|678|Sep 23, 1977 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1976-09-23.gif
58|003|-1975|2|18|7|47|20|-62|-155.5|P|0.8070|-49163|-11|45863|-t|-1.1099|0|231|||Feb 18, 1976 BC|-1999|-1900|-2000|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1975-02-18.gif
59|003|-1975|3|20|3|32|45|60.9|-115.5|P|0.1811|-49162|27|45862|t-|1.4354|0|105|||Mar 20, 1976 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1975-03-20.gif
60|003|-1975|8|14|4|48|27|62.7|73.8|P|0.3516|-49157|-6|45852|-t|1.3569|0|318|||Aug 14, 1976 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1975-08-14.gif
61|004|-1974|2|8|10|34|6|-43.3|-131.6|T|1.0179|-49151|-1|45840|-p|-0.4230|65|335|1.467|68|Feb 08, 1975 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1974-02-08.gif
62|004|-1974|8|3|11|35|27|55.0|-147.6|H|1.0057|-49145|4|45828|-p|0.5677|55|205|0.45|24|Aug 03, 1975 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1974-08-03.gif
63|004|-1973|1|28|7|13|23|-4.2|82.0|A|0.9602|-49139|9|45817|n-|0.3168|72|166|4.9|152|Jan 28, 1974 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1973-01-28.gif
64|004|-1973|7|24|1|18|22|12.9|-11.3|T|1.0601|-49133|14|45805|n-|-0.1865|79|10|5.633|201|Jul 24, 1974 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1973-07-24.gif
65|004|-1972|1|17|8|43|43|64.4|38.0|P|0.8677|-49127|19|45793|t-|1.0502|0|157|||Jan 17, 1973 BC|-1999|-1900|-2000|0.8999 to 0.8000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1972-01-17.gif
66|004|-1972|7|12|6|9|32|-40.7|89.6|T|1.0603|-49121|24|45781|p-|-0.9033|25|8|4.833|464|Jul 12, 1973 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1972-07-12.gif
67|004|-1972|12|7|3|38|57|-68.4|154.4|P|0.5347|-49116|-9|45772|-t|-1.2500|0|162|||Dec 07, 1973 BC|-1999|-1900|-2000|0.6999 to 0.5000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1972-12-07.gif
68|004|-1971|6|2|11|50|31|81.4|-79.8|A|0.9992|-49110|-4|45760|-t|0.9435|19|87|0.05|8|Jun 02, 1972 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1971-06-02.gif
69|004|-1971|11|26|12|22|23|-47.7|175.3|H|1.0069|-49104|1|45748|-n|-0.5060|59|15|0.567|28|Nov 26, 1972 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1971-11-26.gif
70|004|-1970|5|23|5|53|4|26.8|-82.7|A|0.9625|-49098|6|45736|nn|0.1869|79|167|4.383|138|May 23, 1971 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1970-05-23.gif
71|004|-1970|11|16|2|41|9|-4.4|-29.3|T|1.0442|-49092|11|45725|n-|0.1785|80|193|4.167|150|Nov 16, 1971 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1970-11-16.gif
72|004|-1969|5|12|6|45|38|-22.1|-83.5|A|0.9485|-49086|16|45713|p-|-0.5839|54|344|6.4|231|May 12, 1970 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1969-05-12.gif
73|004|-1969|11|5|6|10|59|45.1|115.1|T|1.0233|-49080|21|45701|p-|0.8487|32|202|1.85|149|Nov 05, 1970 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1969-11-05.gif
74|004|-1968|3|31|10|13|17|71.5|-42.9|P|0.2843|-49075|-12|45692|-t|1.3890|0|98|||Mar 31, 1969 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1968-03-31.gif
75|004|-1968|4|30|9|34|2|-71.2|-70.6|P|0.4110|-49074|26|45690|t-|-1.3203|0|298|||Apr 30, 1969 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1968-04-30.gif
76|004|-1968|9|25|3|13|22|-71.5|69.3|P|0.4628|-49069|-7|45680|-t|-1.2916|0|72|||Sep 25, 1969 BC|-1999|-1900|-2000|0.4999 to 0.0000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1968-09-25.gif
77|004|-1967|3|21|11|3|12|27.8|-163.6|T|1.0537|-49063|-2|45668|-p|0.5876|54|160|4.633|218|Mar 21, 1968 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1967-03-21.gif
78|004|-1967|9|14|4|59|19|-27.4|104.6|A|0.9232|-49057|3|45656|-p|-0.6263|51|18|9.45|368|Sep 14, 1968 BC|-1999|-1900|-2000|0.9999 to 0.9000|https://eclipse.gsfc.nasa.gov/SEcat5/SE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCSEmap/-1999--1900/-1967-09-14.gif
