catalog_number|year_nasa|month|day|hour|minute|second|latitude|longitude|eclipse_type|magnitude_umbral|lunation_number|saros_number|delta_Ts|QSE|gamma|magnitude_penumbral|duration_penumbral|duration_parial|duration_total|year_BC|upper|lower|my_50|intensity_category|page|gif
1|-1999|6|26|2|13|28|-24|-22|N|-0.1922|-49456|17|46437|t-|-1.0981|0.8791|4.467|||Jun 26, 2000 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1999-06-26N.gif
2|-1999|11|21|8|23|49|15|-98|N|-0.1921|-49451|-16|46427|-a|-1.1155|0.8143|3.883|||Nov 21, 2000 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1999-11-21N.gif
3|-1998|5|17|5|47|36|-13|89|P|0.2069|-49445|-11|46416|-t|0.8988|1.2105|4.683|1.7||May 17, 1999 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1998-05-17P.gif
4|-1998|11|11|5|15|58|12|113|P|0.974|-49439|-6|46404|-a|-0.4644|2.0382|5.717|3.333||Nov 11, 1999 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1998-11-11P.gif
5|-1997|5|6|6|57|1|-11|-92|T+|1.6963|-49433|-1|46392|pp|0.1003|2.6513|5.367|3.55|1.633|May 6, 1998 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1997-05-06T.gif
6|-1997|10|31|6|54|9|9|88|T+|1.4014|-49427|4|46380|pp|0.2207|2.5057|6.233|3.8|1.5|Oct 31, 1998 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1997-10-31T.gif
7|-1996|4|25|11|57|19|-7|13|P|0.7159|-49421|9|46368|a-|-0.6385|1.6562|4.8|2.767||Apr 25, 1997 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1996-04-25P.gif
8|-1996|10|19|6|0|26|5|101|P|0.1756|-49415|14|46357|t-|0.8915|1.2694|5.133|1.667||Oct 19, 1997 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1996-10-19P.gif
9|-1995|3|16|6|59|6|10|-87|N|-0.3471|-49410|-19|46347|-a|1.2015|0.6538|3.617|||Mar 16, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-03-16N.gif
10|-1995|4|15|4|12|15|-4|130|N|-0.701|-49409|19|46345|a-|-1.4029|0.2681|2.317|||Apr 15, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-04-15N.gif
11|-1995|9|8|9|0|34|-13|-121|N|-0.4652|-49404|-14|46335|-a|-1.2651|0.5382|3.267|||Sep 8, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-09-08N.gif
12|-1995|10|8|10|5|4|1|40|N|-0.9571|-49403|24|46333|a-|1.5232|0.0836|1.383|||Oct 8, 1996 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1995-10-08N.gif
13|-1994|3|6|2|7|38|13|166|P|0.9355|-49398|-9|46323|-t|0.4871|1.9933|5.783|3.367||Mar 6, 1995 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1994-03-06P.gif
14|-1994|8|29|11|25|40|-16|23|P|0.8992|-49392|-4|46311|-a|-0.5326|1.8619|5|3||Aug 29, 1995 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1994-08-29P.gif
15|-1993|2|23|2|59|48|16|153|T-|1.3571|-49386|1|46300|pp|-0.2503|2.4408|6.183|3.8|1.45|Feb 23, 1994 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1993-02-23T.gif
16|-1993|8|19|3|45|11|-19|137|T+|1.5744|-49380|6|46288|p-|0.1639|2.5396|5.333|3.483|1.55|Aug 19, 1994 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1993-08-19T.gif
17|-1992|2|12|4|9|50|18|135|P|0.0571|-49374|11|46276|t-|-0.9653|1.1167|4.783|0.95||Feb 12, 1993 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1992-02-12P.gif
18|-1992|8|7|5|18|34|-20|-67|P|0.1748|-49368|16|46264|h-|0.9154|1.1818|4.6|1.55||Aug 7, 1993 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1992-08-07P.gif
19|-1991|1|2|12|22|41|25|-171|N|-0.144|-49363|-17|46254|-a|1.094|0.8451|3.883|||Jan 2, 1992 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-01-02N.gif
20|-1991|6|28|9|30|53|-24|48|N|-0.2379|-49357|-12|46243|-t|-1.1239|0.8298|4.35|||Jun 28, 1992 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-06-28N.gif
21|-1991|12|22|3|38|22|23|-42|T|1.1362|-49351|-7|46231|-p|0.4019|2.1044|5.133|3.217|0.867|Dec 22, 1992 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1991-12-22T.gif
22|-1990|6|17|9|59|52|-22|40|T|1.1436|-49345|-2|46219|-t|-0.3722|2.2071|6|3.617|0.983|Jun 17, 1991 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1990-06-17T.gif
23|-1990|12|12|6|49|16|21|90|T-|1.3616|-49339|3|46207|p-|-0.2724|2.3547|5.383|3.433|1.333|Dec 12, 1991 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1990-12-12T.gif
24|-1989|6|6|2|31|12|-19|-28|T|1.1041|-49333|8|46196|h-|0.4062|2.1212|5.633|3.45|0.817|Jun 6, 1990 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1989-06-06T.gif
25|-1989|12|1|5|21|2|18|-69|Nx|-0.0058|-49327|13|46184|h-|-1.0024|1.0436|4.517|||Dec 1, 1990 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1989-12-01N.gif
26|-1988|4|26|7|6|30|-9|-95|N|-0.6432|-49322|-20|46174|-a|-1.3775|0.3035|2.4|||Apr 26, 1989 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1988-04-26N.gif
27|-1988|5|26|2|18|15|-16|155|N|-0.2107|-49321|18|46172|a-|1.1372|0.753|3.7|||May 26, 1989 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1988-05-26N.gif
28|-1988|10|21|1|10|42|6|173|N|-0.6163|-49316|-15|46162|-t|1.3197|0.49|3.5|||Oct 21, 1989 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1988-10-21N.gif
29|-1987|4|16|12|20|37|-4|8|P|0.6897|-49310|-10|46150|-a|-0.6515|1.6347|4.8|2.733||Apr 16, 1988 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1987-04-16P.gif
30|-1987|10|10|1|4|52|1|175|P|0.6697|-49304|-5|46139|-t|0.626|1.7498|5.617|2.967||Oct 10, 1988 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1987-10-10P.gif
31|-1986|4|6|3|30|53|1|141|T+|1.698|-49298|0|46127|pp|0.0913|2.6827|5.567|3.633|1.65|Apr 6, 1987 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1986-04-06T.gif
32|-1986|9|29|7|21|46|-5|82|T-|1.6656|-49292|5|46115|p-|-0.099|2.6872|5.683|3.65|1.633|Sep 29, 1987 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1986-09-29T.gif
33|-1985|3|26|12|28|30|6|8|P|0.2037|-49286|10|46103|t-|0.8902|1.2455|4.933|1.75||Mar 26, 1986 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1985-03-26P.gif
34|-1985|9|18|8|27|52|-9|-114|P|0.4422|-49280|15|46092|a-|-0.7787|1.4156|4.65|2.283||Sep 18, 1986 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1985-09-18P.gif
35|-1984|2|13|10|7|18|18|-135|N|-0.483|-49275|-18|46082|-t|-1.2531|0.6009|3.8|||Feb 13, 1985 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1984-02-13N.gif
36|-1984|8|9|3|11|22|-20|144|N|-0.2798|-49269|-13|46070|-a|1.1725|0.6924|3.55|||Aug 9, 1985 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1984-08-09N.gif
37|-1984|9|7|12|31|19|-14|5|N|-0.766|-49268|25|46068|a-|-1.4394|0.1994|1.95|||Sep 7, 1985 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1984-09-07N.gif
38|-1983|2|2|12|35|27|21|-172|P|0.9169|-49263|-8|46058|-t|-0.5|1.9646|5.633|3.283||Feb 2, 1984 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1983-02-02P.gif
39|-1983|7|29|3|17|47|-22|-38|P|0.9685|-49257|-3|46047|-a|0.4792|1.989|5.517|3.283||Jul 29, 1984 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1983-07-29P.gif
40|-1982|1|22|10|3|40|23|45|T+|1.4182|-49251|2|46035|p-|0.2411|2.4129|5.467|3.5|1.433|Jan 22, 1983 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1982-01-22T.gif
41|-1982|7|18|8|21|53|-24|-115|T|1.3214|-49245|7|46023|pp|-0.2744|2.388|6.067|3.733|1.383|Jul 18, 1983 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1982-07-18T.gif
42|-1981|1|12|12|54|10|25|-179|P|0.1947|-49239|12|46011|a-|0.9159|1.1598|4.283|1.55||Jan 12, 1982 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1981-01-12P.gif
43|-1981|7|7|8|46|1|-25|-122|Nx|-0.0534|-49233|17|46000|t-|-1.0219|1.0195|4.75|||Jul 7, 1982 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1981-07-07N.gif
44|-1981|12|3|5|5|53|18|114|N|-0.1989|-49228|-16|45990|-a|-1.1187|0.8094|3.883|||Dec 3, 1982 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1981-12-03N.gif
45|-1980|5|27|12|41|51|-17|-1|P|0.0696|-49222|-11|45978|-t|0.9745|1.07|4.45|1||May 27, 1981 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1980-05-27P.gif
46|-1980|11|21|1|37|31|16|-15|P|0.9708|-49216|-6|45966|-a|-0.4654|2.0378|5.733|3.35||Nov 21, 1981 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1980-11-21P.gif
47|-1979|5|17|2|13|9|-14|156|T+|1.5567|-49210|-1|45954|pp|0.177|2.5092|5.333|3.5|1.55|May 17, 1980 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1979-05-17T.gif
48|-1979|11|10|2|56|40|13|-35|T+|1.4059|-49204|4|45943|pp|0.2178|2.5117|6.25|3.817|1.517|Nov 10, 1980 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1979-11-10T.gif
49|-1978|5|6|7|21|7|-11|-101|P|0.8515|-49198|9|45931|a-|-0.5647|1.7917|4.917|2.95||May 6, 1979 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1978-05-06P.gif
50|-1978|10|30|2|5|11|9|-22|P|0.1873|-49192|14|45919|t-|0.8853|1.2804|5.15|1.717||Oct 30, 1979 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1978-10-30P.gif
51|-1977|3|28|2|15|29|5|161|N|-0.4717|-49187|-19|45909|-a|1.2691|0.5303|3.3|||Mar 28, 1978 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1977-03-28N.gif
52|-1977|4|26|11|26|40|-8|19|N|-0.5788|-49186|19|45907|a-|-1.3358|0.3921|2.783|||Apr 26, 1978 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1977-04-26N.gif
53|-1977|9|20|5|17|52|-9|113|N|-0.4925|-49181|-14|45898|-a|-1.2801|0.5107|3.183|||Sep 20, 1978 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1977-09-20N.gif
54|-1977|10|19|6|28|40|5|-88|N|-0.9384|-49180|24|45896|a-|1.5134|0.1009|1.517|||Oct 19, 1978 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1977-10-19N.gif
55|-1976|3|16|9|4|23|9|59|P|0.8169|-49175|-9|45886|-t|0.5519|1.8742|5.717|3.217||Mar 16, 1977 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1976-03-16P.gif
56|-1976|9|8|7|47|2|-13|-105|P|0.8516|-49169|-4|45874|-a|-0.558|1.8162|4.967|2.933||Sep 8, 1977 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1976-09-08P.gif
57|-1975|3|5|9|52|15|12|48|T-|1.4683|-49163|1|45863|pp|-0.1908|2.5483|6.217|3.85|1.6|Mar 5, 1976 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1975-03-05T.gif
58|-1975|8|29|11|55|30|-15|13|T+|1.6318|-49157|6|45851|p-|0.1314|2.6018|5.35|3.517|1.583|Aug 29, 1976 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1975-08-29T.gif
59|-1974|2|22|11|25|58|15|24|P|0.1534|-49151|11|45839|t-|-0.9146|1.2066|4.9|1.533||Feb 22, 1975 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1974-02-22P.gif
60|-1974|8|19|1|1|49|-18|176|P|0.241|-49145|16|45827|h-|0.8775|1.2546|4.717|1.817||Aug 19, 1975 BC|-1999|-1900|-2000|0.2499 to 0.0000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1974-08-19P.gif
61|-1973|1|13|8|47|38|25|62|N|-0.1671|-49140|-17|45818|-a|1.1079|0.8169|3.817|||Jan 13, 1974 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1973-01-13N.gif
62|-1973|7|9|4|6|48|-25|-52|N|-0.3752|-49134|-12|45806|-t|-1.1976|0.6966|4.05|||Jul 9, 1974 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1973-07-09N.gif
63|-1972|1|3|12|18|2|24|-172|T|1.1165|-49128|-7|45794|-p|0.4132|2.0826|5.117|3.2|0.817|Jan 3, 1973 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1972-01-03T.gif
64|-1972|6|27|4|31|27|-24|-59|P|0.9998|-49122|-2|45782|-t|-0.4505|2.0636|5.917|3.483||Jun 27, 1973 BC|-1999|-1900|-2000|0.9999 to 0.7500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1972-06-27P.gif
65|-1972|12|22|3|28|24|23|-41|T-|1.3695|-49116|3|45771|p-|-0.2679|2.3631|5.4|3.45|1.35|Dec 22, 1973 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1972-12-22T.gif
66|-1971|6|16|9|23|0|-22|-133|T|1.2501|-49110|8|45759|a-|0.3272|2.2651|5.683|3.55|1.217|Jun 16, 1972 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1971-06-16T.gif
67|-1971|12|12|1|44|10|21|164|Nx|-0.0087|-49104|13|45747|h-|-1.0035|1.0424|4.533|||Dec 12, 1972 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1971-12-12N.gif
68|-1970|5|8|2|26|38|-13|152|N|-0.7704|-49099|-20|45737|-a|-1.4473|0.1743|1.833|||May 8, 1971 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1970-05-08N.gif
69|-1970|6|6|9|32|50|-19|45|N|-0.0688|-49098|18|45736|a-|1.0603|0.8931|3.95|||Jun 6, 1971 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1970-06-06N.gif
70|-1970|11|1|9|10|2|10|51|N|-0.6234|-49093|-15|45726|-t|1.3233|0.4841|3.483|||Nov 1, 1971 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1970-11-01N.gif
71|-1969|4|27|7|44|29|-8|-106|P|0.5551|-49087|-10|45714|-a|-0.7248|1.5004|4.683|2.5||Apr 27, 1970 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1969-04-27P.gif
72|-1969|10|21|9|12|41|5|51|P|0.663|-49081|-5|45702|-t|0.6298|1.7423|5.6|2.95||Oct 21, 1970 BC|-1999|-1900|-2000|0.7499 to 0.5000|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1969-10-21P.gif
73|-1968|4|16|10|42|21|-3|30|T+|1.8283|-49075|0|45691|pp|0.0198|2.8146|5.6|3.667|1.7|Apr 16, 1969 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1968-04-16T.gif
74|-1968|10|9|3|47|22|0|-47|T-|1.6812|-49069|5|45679|p-|-0.0907|2.7019|5.667|3.633|1.633|Oct 9, 1969 BC|-1999|-1900|-2000| &gt;= 1|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1968-10-09T.gif
75|-1967|4|5|7|16|42|1|-97|P|0.3313|-49063|10|45667|t-|0.8205|1.3738|5.117|2.2||Apr 5, 1968 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1967-04-05P.gif
76|-1967|9|29|5|2|47|-5|115|P|0.4676|-49057|15|45655|a-|-0.7646|1.442|4.667|2.333||Sep 29, 1968 BC|-1999|-1900|-2000|0.4999 to 0.2500|https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1967-09-29P.gif
77|-1966|2|24|5|9|10|14|118|N|-0.5715|-49052|-18|45646|-t|-1.3026|0.5076|3.517|||Feb 24, 1967 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1966-02-24N.gif
78|-1966|8|20|11|10|2|-17|23|N|-0.3567|-49046|-13|45634|-a|1.213|0.621|3.4|||Aug 20, 1967 BC|-1999|-1900|-2000| &lt; 0 |https://eclipse.gsfc.nasa.gov/LEcat5/LE-1999--1900.html|https://eclipse.gsfc.nasa.gov/5MCLEmap/-1999--1900/LE-1966-08-20N.gif
